Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2020-01-03T20:00:00Z,7343.62000000,7361.00000000,7297.01000000,7316.99000000,1546.01318200,2020-01-03T20:59:59.999Z,11329963.77164085,14968,812.46745300,5953352.36749794,0
2020-01-03T21:00:00Z,7317.01000000,7335.00000000,7262.68000000,7283.00000000,1227.92914500,2020-01-03T21:59:59.999Z,8971337.08503506,13256,576.86847300,4217244.77246865,0
2020-01-03T22:00:00Z,7281.69000000,7320.54000000,7260.01000000,7300.56000000,1407.54526500,2020-01-03T22:59:59.999Z,10255827.30858228,16357,746.19545100,5439215.09984980,0
2020-01-03T23:00:00Z,7301.32000000,7346.08000000,7291.75000000,7344.96000000,1712.85633800,2020-01-03T23:59:59.999Z,12540187.59056603,14442,1065.19420400,7797565.57079987,0
2020-01-04T00:00:00Z,7345.00000000,7350.00000000,7289.98000000,7302.24000000,1240.40648400,2020-01-04T00:59:59.999Z,9078998.36200795,12819,638.58482500,4674982.41677796,0
2020-01-04T01:00:00Z,7304.96000000,7312.58000000,7280.85000000,7309.16000000,821.32123900,2020-01-04T01:59:59.999Z,5995763.76346649,9449,385.80082900,2816706.44240979,0
2020-01-04T02:00:00Z,7308.71000000,7328.99000000,7296.18000000,7327.83000000,868.28171500,2020-01-04T02:59:59.999Z,6347480.77036324,8757,480.70270400,3514344.60271422,0
2020-01-04T03:00:00Z,7328.21000000,7339.69000000,7318.56000000,7333.11000000,763.77539700,2020-01-04T03:59:59.999Z,5598498.15114238,9039,364.40663900,2671265.77368834,0
2020-01-04T04:00:00Z,7333.14000000,7338.46000000,7312.65000000,7334.86000000,691.83320500,2020-01-04T04:59:59.999Z,5068965.03391615,7936,350.86769200,2570685.59771596,0
2020-01-04T05:00:00Z,7334.59000000,7369.28000000,7325.00000000,7344.69000000,1306.73878500,2020-01-04T05:59:59.999Z,9599549.39428373,11322,686.85943200,5045356.36727312,0
2020-01-04T06:00:00Z,7344.70000000,7367.88000000,7340.00000000,7354.96000000,1168.09703600,2020-01-04T06:59:59.999Z,8588833.52266133,9966,623.61341200,4585244.98361740,0
2020-01-04T07:00:00Z,7354.95000000,7363.63000000,7327.32000000,7348.11000000,1352.88086500,2020-01-04T07:59:59.999Z,9937643.00037155,12154,738.57006100,5425429.78363615,0
2020-01-04T08:00:00Z,7348.04000000,7365.00000000,7330.00000000,7346.59000000,1272.74322500,2020-01-04T08:59:59.999Z,9349986.41497317,10447,754.21728400,5541046.30271424,0
2020-01-04T09:00:00Z,7346.40000000,7369.18000000,7339.28000000,7363.88000000,1084.11063300,2020-01-04T09:59:59.999Z,7969046.51742551,10286,632.44311500,4649101.30288025,0
2020-01-04T10:00:00Z,7364.32000000,7369.63000000,7304.36000000,7318.30000000,1807.55155200,2020-01-04T10:59:59.999Z,13285643.39210369,13744,901.63355000,6628279.00853527,0
2020-01-04T11:00:00Z,7318.15000000,7339.27000000,7302.10000000,7336.45000000,1520.45465500,2020-01-04T11:59:59.999Z,11137558.08834180,12378,845.04624400,6190646.73873129,0
2020-01-04T12:00:00Z,7336.75000000,7339.58000000,7305.00000000,7312.89000000,1131.42266700,2020-01-04T12:59:59.999Z,8280307.37766014,10870,695.22978200,5087716.14308025,0
2020-01-04T13:00:00Z,7312.79000000,7326.49000000,7291.00000000,7303.88000000,1549.12832600,2020-01-04T13:59:59.999Z,11319379.88516534,12399,824.57548200,6025792.11206226,0
2020-01-04T14:00:00Z,7303.72000000,7323.74000000,7296.44000000,7316.72000000,874.23169300,2020-01-04T14:59:59.999Z,6392383.49458831,10447,482.35789900,3526846.77919991,0
2020-01-04T15:00:00Z,7315.51000000,7332.00000000,7305.00000000,7318.99000000,870.05060000,2020-01-04T15:59:59.999Z,6368539.05235395,9712,555.82858100,4068357.90817464,0
2020-01-04T16:00:00Z,7318.98000000,7323.26000000,7297.91000000,7307.11000000,1043.41794200,2020-01-04T16:59:59.999Z,7626119.39572547,10912,661.78544500,4837226.21228647,0
2020-01-04T17:00:00Z,7308.00000000,7352.00000000,7305.00000000,7351.99000000,1237.98429600,2020-01-04T17:59:59.999Z,9073546.24007656,11219,700.10711200,5131938.52387021,0
2020-01-04T18:00:00Z,7351.36000000,7404.00000000,7272.21000000,7306.92000000,4110.02446900,2020-01-04T18:59:59.999Z,30174172.57221053,28800,2134.44816900,15683019.21119906,0
2020-01-04T19:00:00Z,7306.60000000,7353.84000000,7283.01000000,7334.83000000,1966.92940100,2020-01-04T19:59:59.999Z,14396196.38601149,17332,1094.31068800,8008151.88383367,0
2020-01-04T20:00:00Z,7334.89000000,7352.64000000,7310.67000000,7341.06000000,1433.86406100,2020-01-04T20:59:59.999Z,10520647.67395371,14270,799.04817900,5863217.43234697,0
2020-01-04T21:00:00Z,7340.90000000,7367.31000000,7330.72000000,7350.68000000,869.00751400,2020-01-04T21:59:59.999Z,6388749.19958577,10519,468.21202600,3442355.71038733,0
2020-01-04T22:00:00Z,7350.72000000,7359.70000000,7342.67000000,7350.24000000,474.92610900,2020-01-04T22:59:59.999Z,3490739.05349926,7232,275.80599700,2027212.73001064,0
2020-01-04T23:00:00Z,7350.05000000,7363.00000000,7328.90000000,7354.11000000,528.79310800,2020-01-04T23:59:59.999Z,3885494.19806059,7361,274.92710100,2020187.75692625,0
2020-01-05T00:00:00Z,7354.19000000,7393.00000000,7354.11000000,7373.48000000,1432.35544000,2020-01-05T00:59:59.999Z,10563344.57119818,14037,776.62883600,5726670.33329952,0
2020-01-05T01:00:00Z,7373.43000000,7481.87000000,7373.43000000,7459.18000000,6394.85574000,2020-01-05T01:59:59.999Z,47589392.48295649,41542,3681.01181200,27385490.18546417,0
2020-01-05T02:00:00Z,7459.91000000,7482.87000000,7432.79000000,7443.79000000,2038.01579000,2020-01-05T02:59:59.999Z,15193162.68683375,16293,1098.01941700,8185284.49384038,0
2020-01-05T03:00:00Z,7443.92000000,7478.00000000,7439.33000000,7475.99000000,1446.22287600,2020-01-05T03:59:59.999Z,10788460.71409375,10742,698.45196300,5210182.68891613,0
2020-01-05T04:00:00Z,7476.00000000,7495.00000000,7444.00000000,7457.14000000,1859.90946700,2020-01-05T04:59:59.999Z,13891219.77843782,13732,963.61762000,7196995.01753636,0
2020-01-05T05:00:00Z,7457.18000000,7470.00000000,7444.00000000,7459.12000000,952.44431800,2020-01-05T05:59:59.999Z,7102459.03193126,9012,467.70221700,3487421.34218464,0
2020-01-05T06:00:00Z,7458.51000000,7481.25000000,7437.40000000,7457.50000000,1166.46428900,2020-01-05T06:59:59.999Z,8698784.19161467,9663,617.68122900,4607145.02671692,0
2020-01-05T07:00:00Z,7457.83000000,7470.36000000,7442.00000000,7463.63000000,888.08785400,2020-01-05T07:59:59.999Z,6620622.05257971,8625,438.11524600,3266141.97931797,0
2020-01-05T08:00:00Z,7463.64000000,7472.00000000,7410.00000000,7430.05000000,1595.87833400,2020-01-05T08:59:59.999Z,11873005.14908572,13828,699.62332800,5206437.36091203,0
2020-01-05T09:00:00Z,7430.00000000,7436.84000000,7400.00000000,7427.74000000,2072.53709500,2020-01-05T09:59:59.999Z,15374755.30564120,14274,1071.63908300,7951156.81151286,0
2020-01-05T10:00:00Z,7427.70000000,7432.28000000,7403.21000000,7415.12000000,995.14421000,2020-01-05T10:59:59.999Z,7381567.11187703,9178,554.60784000,4113587.50863083,0
2020-01-05T11:00:00Z,7415.10000000,7440.00000000,7410.00000000,7422.33000000,1001.51761900,2020-01-05T11:59:59.999Z,7437451.92934790,10279,555.24831900,4123218.04875656,0
2020-01-05T12:00:00Z,7422.27000000,7460.46000000,7421.93000000,7457.01000000,1079.56126300,2020-01-05T12:59:59.999Z,8035656.55335237,11542,556.96614800,4145496.06580913,0
2020-01-05T13:00:00Z,7457.79000000,7458.00000000,7415.00000000,7431.15000000,1337.57108400,2020-01-05T13:59:59.999Z,9948778.23592681,12377,622.41217100,4630128.04990535,0
2020-01-05T14:00:00Z,7431.16000000,7444.73000000,7425.00000000,7431.82000000,831.78756000,2020-01-05T14:59:59.999Z,6186421.45581482,10274,417.49211200,3105289.93670699,0
2020-01-05T15:00:00Z,7431.71000000,7476.31000000,7430.99000000,7468.42000000,1839.98851800,2020-01-05T15:59:59.999Z,13720484.21962582,18706,910.30737600,6788769.09827210,0
2020-01-05T16:00:00Z,7467.91000000,7484.00000000,7450.00000000,7461.38000000,1764.36250900,2020-01-05T16:59:59.999Z,13176482.88872617,15674,877.83013500,6555856.94862444,0
2020-01-05T17:00:00Z,7461.26000000,7470.76000000,7445.15000000,7464.65000000,904.27587600,2020-01-05T17:59:59.999Z,6746680.14234980,10630,463.13893300,3455255.50933466,0
2020-01-05T18:00:00Z,7464.62000000,7468.87000000,7421.77000000,7438.72000000,1226.76024400,2020-01-05T18:59:59.999Z,9128520.21994536,12491,594.86782600,4426180.47597276,0
2020-01-05T19:00:00Z,7439.02000000,7449.69000000,7427.10000000,7444.14000000,952.37598000,2020-01-05T19:59:59.999Z,7086228.44770478,10026,471.83179900,3511047.65520904,0
2020-01-05T20:00:00Z,7444.71000000,7445.00000000,7426.00000000,7431.60000000,687.77142300,2020-01-05T20:59:59.999Z,5113632.96483551,7435,338.38260200,2516105.87400187,0
2020-01-05T21:00:00Z,7431.01000000,7431.53000000,7361.01000000,7368.52000000,2225.19435800,2020-01-05T21:59:59.999Z,16458207.43375456,17765,937.13403100,6931356.29916191,0
2020-01-05T22:00:00Z,7367.62000000,7385.65000000,7318.00000000,7355.73000000,2249.58603700,2020-01-05T22:59:59.999Z,16533005.57722188,18767,1006.18354500,7397754.59118095,0
2020-01-05T23:00:00Z,7355.73000000,7363.35000000,7321.00000000,7358.75000000,1388.41772000,2020-01-05T23:59:59.999Z,10200360.64432085,12317,636.47597600,4677123.08838317,0
2020-01-06T00:00:00Z,7357.64000000,7384.72000000,7346.76000000,7378.75000000,1358.86778700,2020-01-06T00:59:59.999Z,10006650.47519736,10399,712.18397500,5243957.74043171,0
2020-01-06T01:00:00Z,7378.97000000,7426.82000000,7368.55000000,7423.50000000,1630.22754100,2020-01-06T01:59:59.999Z,12048066.48859861,14099,917.22356400,6779159.35703859,0
2020-01-06T02:00:00Z,7423.06000000,7562.00000000,7421.64000000,7551.44000000,5819.25697200,2020-01-06T02:59:59.999Z,43663709.10690237,38256,3402.17862800,25524409.67271298,0
2020-01-06T03:00:00Z,7551.47000000,7580.00000000,7486.85000000,7540.90000000,4769.90635600,2020-01-06T03:59:59.999Z,35939688.36850047,27817,2222.12077100,16741857.77389278,0
2020-01-06T04:00:00Z,7540.90000000,7554.61000000,7516.06000000,7529.52000000,1554.58246100,2020-01-06T04:59:59.999Z,11710943.82189495,13475,854.35494500,6435282.57852864,0
2020-01-06T05:00:00Z,7529.52000000,7541.55000000,7496.00000000,7532.85000000,1472.91993000,2020-01-06T05:59:59.999Z,11073632.01372346,12768,803.68440300,6042473.86977641,0
2020-01-06T06:00:00Z,7532.85000000,7537.53000000,7510.99000000,7520.00000000,873.32937000,2020-01-06T06:59:59.999Z,6569908.16641012,9507,431.80743200,3248175.86765804,0
2020-01-06T07:00:00Z,7520.00000000,7527.27000000,7505.57000000,7507.91000000,921.88639400,2020-01-06T07:59:59.999Z,6931555.59320038,9159,444.00482500,3338517.88953226,0
2020-01-06T08:00:00Z,7508.18000000,7551.68000000,7507.39000000,7547.55000000,1690.85779800,2020-01-06T08:59:59.999Z,12736985.42278754,14328,814.26494500,6134487.50936167,0
2020-01-06T09:00:00Z,7547.88000000,7553.00000000,7516.51000000,7550.78000000,2074.10587600,2020-01-06T09:59:59.999Z,15626240.92649843,18687,864.87892200,6516227.64078327,0
2020-01-06T10:00:00Z,7550.84000000,7576.68000000,7535.64000000,7561.22000000,1912.72869300,2020-01-06T10:59:59.999Z,14444524.61192176,18543,915.29911800,6911919.74394356,0
2020-01-06T11:00:00Z,7561.27000000,7582.27000000,7526.88000000,7544.72000000,2149.63522600,2020-01-06T11:59:59.999Z,16235629.11430561,19890,1039.19860600,7849336.70742311,0
2020-01-06T12:00:00Z,7544.72000000,7566.24000000,7535.00000000,7557.42000000,1484.61359400,2020-01-06T12:59:59.999Z,11210567.43724119,12884,704.89083900,5323100.75699911,0
2020-01-06T13:00:00Z,7557.77000000,7622.00000000,7465.44000000,7528.64000000,3698.14084200,2020-01-06T13:59:59.999Z,27922946.21992676,28344,1862.62529400,14075076.31828144,0
2020-01-06T14:00:00Z,7528.59000000,7558.45000000,7505.02000000,7547.93000000,2383.74561100,2020-01-06T14:59:59.999Z,17962663.17966620,19285,1303.73241200,9823948.60179271,0
2020-01-06T15:00:00Z,7548.10000000,7553.28000000,7516.34000000,7519.99000000,1644.39387700,2020-01-06T15:59:59.999Z,12387650.46453011,13550,799.01666700,6019492.83908403,0
2020-01-06T16:00:00Z,7519.05000000,7546.08000000,7509.43000000,7529.24000000,1626.35541700,2020-01-06T16:59:59.999Z,12248008.99620760,15654,736.28242300,5544569.03843283,0
2020-01-06T17:00:00Z,7529.01000000,7561.00000000,7526.91000000,7558.48000000,1102.99852200,2020-01-06T17:59:59.999Z,8326795.80955293,12439,569.33917300,4298267.66878707,0
2020-01-06T18:00:00Z,7558.78000000,7560.00000000,7525.96000000,7533.00000000,910.96730600,2020-01-06T18:59:59.999Z,6870408.26374498,10347,453.45254100,3420109.10953394,0
2020-01-06T19:00:00Z,7532.50000000,7551.71000000,7524.00000000,7539.90000000,863.25263400,2020-01-06T19:59:59.999Z,6506806.85940654,10935,473.86173400,3571504.33031114,0
2020-01-06T20:00:00Z,7539.74000000,7557.99000000,7534.90000000,7551.25000000,978.34291200,2020-01-06T20:59:59.999Z,7380946.73490069,11695,569.29348500,4294737.99133277,0
2020-01-06T21:00:00Z,7551.24000000,7608.00000000,7547.56000000,7578.42000000,2101.57766700,2020-01-06T21:59:59.999Z,15931490.16536530,19607,1075.09484400,8149879.44433462,0
2020-01-06T22:00:00Z,7578.42000000,7752.00000000,7574.39000000,7712.63000000,6546.73032300,2020-01-06T22:59:59.999Z,50288414.24073918,52828,3902.72332700,29978574.82851993,0
2020-01-06T23:00:00Z,7712.58000000,7795.34000000,7690.70000000,7758.00000000,5066.27220700,2020-01-06T23:59:59.999Z,39306248.74482665,35441,2982.25489700,23146543.38093203,0
2020-01-07T00:00:00Z,7758.90000000,8000.00000000,7758.29000000,7888.42000000,12714.83070600,2020-01-07T00:59:59.999Z,100431489.77434890,82946,6709.96155300,52994969.46488182,0
2020-01-07T01:00:00Z,7889.64000000,7919.99000000,7866.01000000,7905.67000000,3784.60669600,2020-01-07T01:59:59.999Z,29871916.67223374,24795,1938.55600800,15302810.77091618,0
